"Site_number","Country","Type_1","Type_2","Site_block","Catchment_PC1","Catchment_PC2","Riparian_PC1","Riparian_PC2"
7,"NO","FBF","PAIR","ALN_PAIR",0.0299693083464661,-1.27905486255555,0.454322640559014,-0.188489901297167
7,"RO","UBF","PAIR","ARG_PAIR",0.867590112365336,0.0116228233788517,-0.450403445357844,1.39095530020978
7,"SE","FOR","FOR","GRA_FOR",-1.4431412313427,0.71206038281705,0.719909681639809,0.211720667928479
8,"BE","FBF","PAIR","BOE_PAIR",0.517824682542934,0.435135157572633,-0.183765742614209,-0.287830446756563
8,"NO","UBF","PAIR","HOV_PAIR",-0.495305446675382,-0.864040114703039,0.307844201856441,-0.506432225297893
8,"RO","FBF","PAIR","ARG_PAIR",0.977782598131165,0.0706435796108735,-0.233352031458393,1.18922973336769
8,"SE","FOR","FOR","LAF_FOR",-0.618829592592517,0.424807159442203,1.09389962081805,-0.172410815253088
9,"BE","FBF","PAIR","ZIJ_PAIR",0.748540663333437,0.488524948663986,0.0167843338004079,-0.394690004836497
9,"NO","FBF","PAIR","HOV_PAIR",-0.485169997464588,-0.891724604832331,0.276199194885896,-0.347188840600695
9,"RO","UBF","PAIR","BRI_PAIR",0.227057831757766,0.0488633042869322,-0.630729583762136,-0.276009299672517
9,"SE","FOR","FOR","FIB_FOR",-1.3171125784129,0.804712279784194,0.916991624420339,0.136732427332551
